,month,well_name,bhp,bht,dp_tubing,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,whp,wht,choke_size_percentage,oil_rate,prod_hrs,oil_vol,gas_vol,water_vol
45,May 2014,7405,223.97050529885172,107.81573311095234,155.9760853060201,28.05183173898865,46.4160566061828,67.99441999283155,55.57782380031093,39.48517911966599,827.5540322580645,949.83334,36044.42,5094166.3,783.48
46,June 2014,7405,217.4583858442543,108.0049109821462,157.56172607641773,27.613102574989686,46.62114773611111,59.896659767836596,56.33171315022414,31.58881956341213,675.278182478361,1655.75,55662.17999999999,7980827.99,2851.96
47,July 2014,7405,215.3137228331745,108.15118170763235,166.59374017777384,26.940281947759182,47.28466888888889,48.71998265540066,56.802281086780674,20.25361851074015,486.1408271267887,2374.16666,70225.85999999999,10152346.98,8941.470000000001
48,August 2014,7405,213.56835296296296,108.23437785460993,172.93620794030733,22.06016189355752,49.14963932870371,40.632145022655635,56.60600123842593,12.081788367563043,387.24611111111113,2806.16666,77196.28999999998,11200537.780000001,13471.220000000001
49,September 2014,7405,224.63615766944818,108.26130765214765,182.57214851365433,23.023952444476,49.31757928685897,42.06400915579387,58.67887639849527,13.579967098602168,354.1048343858455,3424.4249999999997,86364.71999999997,12614637.770000001,21788.81
50,October 2014,7405,220.30385760962446,108.34677959750972,184.27071060946201,19.35194869396055,51.01365790913978,36.033147000162465,55.173448787419865,8.224089474514297,304.9914322580645,4168.424999999999,95832.77999999997,14076701.760000002,32153.68
51,November 2014,7405,221.71343851562503,108.22422498300828,185.93512233506945,18.857567322389592,50.583120625,35.77831618055556,55.88230908854167,8.212946076388889,279.64958333333334,4732.424999999999,102543.10999999997,15120890.060000002,39387.92
52,December 2014,7405,255.41031,105.64768,248.86561,10.734955553874471,56.644213541666666,6.5447,20.87301,2.25817,213.8488888888889,4745.924999999999,102663.39999999997,15146747.140000002,39571.36
53,January 2015,7405,248.04384308338143,107.56600401145658,183.75253794174094,22.84236579478566,45.305474890873015,64.2913051416405,50.12638282650009,36.40297575369382,545.482060564614,5197.424999999999,113538.92999999996,16751681.740000002,46422.16
54,February 2015,7405,236.11868415694,107.84398203446749,188.06851341729586,25.20772515214469,50.01179601830663,48.05017073964413,60.38321616553563,19.464243674343766,518.6910293143196,5634.841669999999,123125.56999999996,18191135.410000004,57167.15
55,March 2015,7405,233.84930168495137,108.05199421819059,195.15127010024585,24.28232997746343,53.962291006728776,38.69803158470553,68.34167598395825,12.771129063647152,432.55380763722434,5955.049999999999,129004.78999999996,19047816.860000003,68774.59
56,April 2015,7405,241.4240622157882,107.89298193214911,204.6134011312405,22.435461883987628,49.97051230902778,36.81066108454771,65.45410476299386,11.731903987778097,343.21276249741203,6217.88333,132928.96999999997,19614526.67,78589.75
57,May 2015,7405,231.24500847751233,108.06859415213148,198.58129961766218,19.484519758994725,55.18435372685185,32.66370885985017,73.25777098404306,5.88044687333336,502.823359568163,6398.96666,136761.65999999997,20173587.01,84757.22
58,June 2015,7405,237.88062793852117,108.02601063406648,202.72332081623466,20.287021869039158,55.03565396875,35.157307122286504,67.80453681834824,7.848417043589199,322.62438171037695,6865.41652,143106.15999999997,21098924.490000002,99305.91
59,July 2015,7405,244.06442094435818,107.98952973867331,212.07515517373656,18.570387343402864,52.95372448863636,31.989265770621614,66.50295811368693,5.518371698287205,199.97190386772252,7107.083189999999,145200.11,21414103.450000003,107760.17
60,August 2015,7405,219.88035205990582,108.228491956153,188.8637446468631,18.78975212642262,57.04063336309524,31.016607413042696,71.77469058922233,3.9893713720673962,451.02424303426045,7254.874859999999,148071.12999999998,21841796.040000003,113094.2
61,September 2015,7405,239.23318805094684,107.95025084580293,206.32099003193449,21.59671618930506,57.963585220588236,32.91219801901237,69.81383021539102,6.2331024134247865,397.17189854885277,7639.341659999999,154531.39999999997,22803344.460000005,127861.31999999999
62,October 2015,7405,240.89338973753536,107.93705233195956,208.35760174064816,18.939617179120233,50.522878223039214,32.53578799688722,69.03526877474073,10.903860473654154,254.71069185198053,8007.141519999999,158617.19999999995,23434717.020000003,141400.03
63,November 2015,7405,241.70651994049229,107.94836558500856,211.1257599389705,17.983840994321184,56.80953899038462,30.580760001521806,69.73965665964472,8.046836485243858,260.2434175739386,8308.39985,161949.24999999994,23943101.450000003,153082.34
64,December 2015,7405,212.69317802586863,108.14964738295969,187.54313775708323,17.898522401275898,52.242090624999996,25.150040268785382,70.97417553292729,8.350945478098588,362.9344028656276,8506.05818,164898.66999999995,24398012.750000004,159313.88999999998
65,January 2016,7405,245.6903479149411,107.93270498169825,216.92640765036302,18.993394460774965,50.36350095588235,28.763940264578043,67.79994389160447,13.119100850695492,185.45322518041047,8893.74152,167880.10999999996,24869688.710000005,173350.16999999998
66,February 2016,7405,239.4884759004752,107.86739488735591,210.9926102612692,19.47762976085048,50.978343382936515,28.495865639206038,65.99959403591477,12.399639007758273,228.75371034566174,9377.474849999999,172597.58999999997,25611939.850000005,189294.74999999997
67,March 2016,7405,253.1087693688771,107.8577834369707,221.29276537582763,20.08881647925457,51.91515873550725,31.81600399304948,67.43029711219422,15.55253205619808,195.57962487628842,9734.23318,175515.08999999997,26088770.040000007,202705.63999999996
68,April 2016,7405,221.2271648092542,108.02523477420779,195.36324639154077,19.413243243689923,53.39863836805555,25.863918417713425,69.98872512189678,10.015565284545788,283.9003333102841,9875.058169999998,177186.77999999997,26362983.21000001,207146.76999999996
69,July 2008,5351,252.05588231211465,104.32865940049084,155.969946882228,0.8231073991228071,29.82804425438596,96.08593542988665,73.91908420056077,64.31868399680539,2781.2009558964037,437.57,51285.08,7538861.07,126.17
70,August 2008,5351,246.11738539674354,104.58612696659182,156.49675310886906,6.159866994064443,33.09854704864311,89.62063228787449,74.96437562899739,57.58761605825788,3534.1017687691046,895.97,118906.28,17319393.41,348.7
71,September 2008,5351,229.6573507299827,104.83864722523288,155.4936572397369,9.418974032109292,42.02751095521199,74.16369349024582,76.09135421769098,41.16995037532958,4253.205816484724,1538.6783300000002,233502.53999999998,33659908.16,624.4300000000001
72,October 2008,5351,210.81474258798914,105.04666396901027,149.60197415093353,4.543001065360164,46.766916555972415,61.21276843705563,78.22924321385698,28.355526034993144,4614.771597138538,2280.17833,376319.6,53986774.48,725.6800000000001
73,November 2008,5351,224.0799947443663,105.10606347932415,149.3870238824144,6.347401356962146,36.14908350251182,74.69297086195188,76.07619711371426,42.22374788289846,3549.848029842997,2998.01166,480729.20999999996,68892794.49,915.57
74,December 2008,5351,238.51729892601807,105.22625470515901,154.0070334327099,6.1011050514107446,34.744733629032254,84.51026549330817,76.05680380547929,51.77747421742736,3554.815483870968,3742.01166,590928.49,84849047.94,982.11
75,January 2009,5351,254.5872684826056,105.23429449080025,161.2679679830281,5.605538942594502,33.67271022160674,93.50642834097535,75.94870812855959,60.671959387382294,3952.589970244077,4447.17831,706501.15,101567503.27,1959.9
76,February 2009,5351,263.7445606571319,105.34416109803394,165.28275576903314,8.24197093202598,33.55772282261142,98.46180488809877,77.8142940210597,65.5590765249246,4385.340886368545,5085.5949900000005,820382.13,117821880.71,4489.139999999999
77,March 2009,5351,261.20116433425346,105.14710413836258,165.80972224557647,9.141593945831593,32.42587571594242,95.39144208867695,73.14362444520594,62.58802722507289,3989.9240166794284,5616.39832,911026.5700000001,130524343.92999999,6281.735
78,April 2009,5351,171.70022321154644,78.78147470979258,126.29572481099967,6.961047368796979,36.403528840263824,75.54172676161673,75.17627546756367,42.96450603594951,3879.309061778961,6153.223330000001,997919.9800000001,142443809.7,6528.155
79,May 2009,5351,220.57954200699334,103.80496628888572,151.49158332240003,2.226803258890764,40.21183590873016,69.0879586845933,78.8160034484815,36.12304752029399,4021.0491143621307,6847.89,1114095.02,158388358.53,9968.205
80,June 2009,5351,222.54762361392548,104.96566005416557,153.1192453598334,5.1774661129748605,35.89155859866256,69.42837825409205,79.07630733849888,37.25010479177716,3018.441137983252,7539.7899800000005,1200749.05,170530239.64,15699.385
